model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel,region
ARIMA,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,11.54258760098881,5.70741239901119,-0.3308644868991994,liguria
ARIMA,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,9.08569351525136,0.8043064847486399,-0.0813252259604287,liguria
ARIMA,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.302267432465731,0.3377325675342693,-0.039089417538688574,liguria
ARIMA,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,4.294060041564132,1.4140600415641318,0.49099306998754577,liguria
ARIMA,2021-2022,latest,2022-01-23,2021-12-19,-5.0,7.46,4.942044333609528,2.5179556663904723,-0.33752756922124294,liguria
ARIMA,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,6.706073208999776,8.693926791000225,-0.5645407007143003,liguria
ARIMA,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,17.94,0.9199999999999982,-0.04878048780487795,liguria
ARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.140707604781728,0.8839714013880737,-0.055163126889950696,liguria
CatBoost,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,7.879681196744216,9.370318803255785,-0.5432068871452629,liguria
CatBoost,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.41229715735787,1.477702842642131,-0.14941383646533174,liguria
CatBoost,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.288952760187563,0.3510472398124378,-0.040630467570884,liguria
CatBoost,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,7.473939970477827,4.593939970477827,1.595118045304801,liguria
CatBoost,2021-2022,latest,2022-01-23,2022-01-02,-3.0,7.46,7.756893739517939,0.2968937395179392,0.03979808840723045,liguria
CatBoost,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,8.883466841618922,6.516533158381078,-0.4231515037909791,liguria
CatBoost,2023-2024,latest,2024-01-07,2024-01-14,1.0,18.86,15.415327849426568,3.4446721505734317,-0.18264433460092427,liguria
CatBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,14.960521564865108,1.064157441304694,-0.06640741077527815,liguria
Chronos-Bolt-small,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,12.054256439208984,5.195743560791016,-0.30120252526324726,liguria
Chronos-Bolt-small,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.468555450439453,1.4214445495605474,-0.14372543473817465,liguria
Chronos-Bolt-small,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.39317512512207,0.24682487487793026,-0.028567693851612296,liguria
Chronos-Bolt-small,2020-2021,latest,2021-02-21,2021-03-07,2.0,2.88,6.9466753005981445,4.066675300598145,1.4120400349299114,liguria
Chronos-Bolt-small,2021-2022,latest,2022-01-23,2022-01-02,-3.0,7.46,6.267848968505859,1.1921510314941406,-0.15980576829680168,liguria
Chronos-Bolt-small,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,7.526370048522949,7.873629951477051,-0.5112746721738345,liguria
Chronos-Bolt-small,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,15.700801849365234,3.159198150634765,-0.16750785528286136,liguria
Chronos-Bolt-small,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,14.703962326049805,1.3207166801199968,-0.08241766837335687,liguria
Chronos-V2,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,12.251176834106444,4.9988231658935565,-0.2897868501967279,liguria
Chronos-V2,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.464906692504883,1.4250933074951178,-0.14409436880638196,liguria
Chronos-V2,2019-2020,latest,2020-02-09,2020-02-09,0.0,8.64,8.85685920715332,0.21685920715331974,0.025099445272374968,liguria
Chronos-V2,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,8.313995361328125,5.433995361328125,1.886803944905599,liguria
Chronos-V2,2021-2022,latest,2022-01-23,2021-12-12,-6.0,7.46,5.188111305236816,2.2718886947631836,-0.30454272047763853,liguria
Chronos-V2,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,6.29597806930542,9.10402193069458,-0.5911702552399078,liguria
Chronos-V2,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,15.41094207763672,3.449057922363279,-0.1828768781740869,liguria
Chronos-V2,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,13.847063064575195,2.177615941594606,-0.13589139231782324,liguria
Drift,2017-2018,latest,2018-01-07,2018-03-18,10.0,17.25,14.632051282051282,2.6179487179487175,-0.15176514306949088,liguria
Drift,2018-2019,latest,2019-01-27,2019-04-21,12.0,9.89,9.455957446808512,0.4340425531914889,-0.04388701245616672,liguria
Drift,2019-2020,latest,2020-02-09,2020-03-08,4.0,8.64,8.775283018867926,0.13528301886792526,0.015657756813417276,liguria
Drift,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.88,8.91056603773585,6.030566037735849,2.0939465408805034,liguria
Drift,2021-2022,latest,2022-01-23,2022-01-30,1.0,7.46,4.72327868852459,2.73672131147541,-0.3668527227178834,liguria
Drift,2022-2023,latest,2022-12-18,2023-03-05,11.0,15.4,9.053623188405798,6.346376811594203,-0.4121023903632599,liguria
Drift,2023-2024,latest,2024-01-07,2024-02-25,7.0,18.86,18.3792,0.48079999999999856,-0.02549310710498402,liguria
Drift,2024-2025,latest,2025-01-26,2025-03-23,8.0,16.0246790061698,16.37539416294498,0.35071515677517695,0.021885939596053377,liguria
ETS,2017-2018,latest,2018-01-07,2018-03-18,10.0,17.25,15.435775610066166,1.814224389933834,-0.1051724284019614,liguria
ETS,2018-2019,latest,2019-01-27,2019-04-21,12.0,9.89,10.63635161130128,0.7463516113012787,0.07546527920134263,liguria
ETS,2019-2020,latest,2020-02-09,2020-03-08,4.0,8.64,9.398356814172184,0.758356814172183,0.08777277941807674,liguria
ETS,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.88,10.156807758959443,7.2768077589594435,2.526669360749807,liguria
ETS,2021-2022,latest,2022-01-23,2022-01-30,1.0,7.46,6.558972035747817,0.901027964252183,-0.12078122845203526,liguria
ETS,2022-2023,latest,2022-12-18,2023-03-05,11.0,15.4,10.841762631698804,4.558237368301196,-0.29598943950007767,liguria
ETS,2023-2024,latest,2024-01-07,2024-02-25,7.0,18.86,19.8076245383176,0.9476245383176014,0.050245203516309726,liguria
ETS,2024-2025,latest,2025-01-26,2025-03-23,8.0,16.0246790061698,17.928195201210936,1.903516195041135,0.11878654132842509,liguria
LightGBM,2017-2018,latest,2018-01-07,2018-02-04,4.0,17.25,8.15483873911748,9.09516126088252,-0.5272557252685519,liguria
LightGBM,2018-2019,latest,2019-01-27,2019-04-21,12.0,9.89,9.846031833414212,0.04396816658578828,-0.004445719573891636,liguria
LightGBM,2019-2020,latest,2020-02-09,2020-03-08,4.0,8.64,8.47995187333692,0.16004812666307977,-0.01852408873415275,liguria
LightGBM,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,8.89627418294758,6.016274182947581,2.0889840913012434,liguria
LightGBM,2021-2022,latest,2022-01-23,2022-01-30,1.0,7.46,11.77001272068092,4.310012720680921,0.5777496944612495,liguria
LightGBM,2022-2023,latest,2022-12-18,2023-03-05,11.0,15.4,10.499875939578406,4.900124060421595,-0.3181898740533503,liguria
LightGBM,2023-2024,latest,2024-01-07,2024-01-14,1.0,18.86,13.927395556343328,4.932604443656672,-0.2615378814240017,liguria
LightGBM,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,14.530456725085685,1.4942222810841166,-0.09324506784247054,liguria
MovingAverage,2017-2018,latest,2018-01-07,2018-03-25,11.0,17.25,4.203846153846155,13.046153846153846,-0.756298773690078,liguria
MovingAverage,2018-2019,latest,2019-01-27,2019-04-28,13.0,9.89,4.930192307692308,4.959807692307693,-0.5014972388582095,liguria
MovingAverage,2019-2020,latest,2020-02-09,2019-11-03,-14.0,8.64,4.930192307692308,3.7098076923076926,-0.4293758903133903,liguria
MovingAverage,2020-2021,latest,2021-02-21,2020-12-20,-9.0,2.88,3.850192307692308,0.970192307692308,0.33687232905982917,liguria
MovingAverage,2021-2022,latest,2022-01-23,2021-11-07,-11.0,7.46,3.248076923076922,4.211923076923078,-0.5646009486492062,liguria
MovingAverage,2022-2023,latest,2022-12-18,2023-03-12,12.0,15.4,5.199615384615385,10.200384615384614,-0.6623626373626372,liguria
MovingAverage,2023-2024,latest,2024-01-07,2024-04-28,16.0,18.86,8.579423076923076,10.280576923076923,-0.5450995187209398,liguria
MovingAverage,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,8.923279234926326,7.101399771243475,-0.44315394826375637,liguria
Naive,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,13.99,3.26,-0.1889855072463768,liguria
Naive,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,9.13,0.7599999999999998,-0.07684529828109199,liguria
Naive,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.64,0.0,0.0,liguria
Naive,2020-2021,latest,2021-02-21,2020-12-13,-10.0,2.88,8.64,5.760000000000001,2.0000000000000004,liguria
Naive,2021-2022,latest,2022-01-23,2021-12-12,-6.0,7.46,4.62,2.84,-0.3806970509383378,liguria
Naive,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,8.84,6.5600000000000005,-0.425974025974026,liguria
Naive,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,17.94,0.9199999999999982,-0.04878048780487795,liguria
Naive,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,16.0246790061698,0.0,0.0,liguria
Prophet,2017-2018,latest,2018-01-07,2018-02-18,6.0,17.25,8.388745211465753,8.861254788534247,-0.5136959297701013,liguria
Prophet,2018-2019,latest,2019-01-27,2019-01-27,0.0,9.89,6.480927391229285,3.4090726087707157,-0.344698949319587,liguria
Prophet,2019-2020,latest,2020-02-09,2019-12-29,-6.0,8.64,7.340585421554903,1.2994145784450977,-0.15039520583855295,liguria
Prophet,2020-2021,latest,2021-02-21,2021-04-18,8.0,2.88,8.180445626953023,5.300445626953024,1.8404325093586889,liguria
Prophet,2021-2022,latest,2022-01-23,2021-11-07,-11.0,7.46,6.698518082557227,0.7614819174427732,-0.10207532405399104,liguria
Prophet,2022-2023,latest,2022-12-18,2023-04-30,19.0,15.4,7.097410327863722,8.302589672136278,-0.5391291994893687,liguria
Prophet,2023-2024,latest,2024-01-07,2024-04-21,15.0,18.86,11.03279446151468,7.82720553848532,-0.4150162003438664,liguria
Prophet,2024-2025,latest,2025-01-26,2025-03-23,8.0,16.0246790061698,11.034873870150747,4.989805136019054,-0.3113825327857042,liguria
Ridge,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,10.887665270703636,6.362334729296364,-0.36883099879978926,liguria
Ridge,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.491888284917094,1.3981117150829068,-0.14136619970504619,liguria
Ridge,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.015574482763572,0.6244255172364284,-0.0722714719023644,liguria
Ridge,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,4.64781523414983,1.7678152341498299,0.6138247340798021,liguria
Ridge,2021-2022,latest,2022-01-23,2022-03-27,9.0,7.46,5.480785490718796,1.9792145092812037,-0.2653102559358182,liguria
Ridge,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,6.798627262565862,8.601372737434138,-0.558530697235983,liguria
Ridge,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,17.066391827905942,1.793608172094057,-0.09510117561474322,liguria
Ridge,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.029363789471702,0.9953152166980992,-0.062111398070119485,liguria
SARIMA,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,11.54258760098881,5.70741239901119,-0.3308644868991994,liguria
SARIMA,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.424127411122976,1.4658725888770245,-0.14821765307148882,liguria
SARIMA,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.342938326874696,0.2970616731253042,-0.0343821380932065,liguria
SARIMA,2020-2021,latest,2021-02-21,2021-03-07,2.0,2.88,4.3407702163970985,1.4607702163970986,0.507211880693437,liguria
SARIMA,2021-2022,latest,2022-01-23,2021-12-12,-6.0,7.46,5.063740462088049,2.396259537911951,-0.3212144152696985,liguria
SARIMA,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,6.718256106478599,8.681743893521402,-0.5637496034754157,liguria
SARIMA,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,17.095621169274658,1.7643788307253416,-0.09355136960367666,liguria
SARIMA,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.023268802222084,1.0014102039477173,-0.06249174810691407,liguria
SeasonalNaive,2017-2018,latest,2018-01-07,2018-02-18,6.0,17.25,4.73,12.52,-0.7257971014492753,liguria
SeasonalNaive,2018-2019,latest,2019-01-27,2018-12-30,-4.0,9.89,8.5,1.3900000000000006,-0.14054600606673412,liguria
SeasonalNaive,2019-2020,latest,2020-02-09,2019-12-29,-6.0,8.64,17.25,8.61,0.9965277777777777,liguria
SeasonalNaive,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,9.89,7.010000000000001,2.434027777777778,liguria
SeasonalNaive,2021-2022,latest,2022-01-23,2021-11-07,-11.0,7.46,9.13,1.6700000000000008,0.22386058981233256,liguria
SeasonalNaive,2022-2023,latest,2022-12-18,2022-11-13,-5.0,15.4,2.95,12.45,-0.8084415584415584,liguria
SeasonalNaive,2023-2024,latest,2024-01-07,2023-11-19,-7.0,18.86,5.32,13.54,-0.7179215270413574,liguria
SeasonalNaive,2024-2025,latest,2025-01-26,2024-12-08,-7.0,16.0246790061698,15.4,0.6246790061698011,-0.038982310093655416,liguria
TiRex,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,13.158512115478516,4.091487884521484,-0.23718770345052084,liguria
TiRex,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.652774810791016,1.237225189208985,-0.12509860356005914,liguria
TiRex,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.381147384643555,0.2588526153564459,-0.029959793444033087,liguria
TiRex,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,6.675580978393555,3.795580978393555,1.3179100619422066,liguria
TiRex,2021-2022,latest,2022-01-23,2021-12-12,-6.0,7.46,4.8239030838012695,2.6360969161987304,-0.35336419788186735,liguria
TiRex,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,7.078415870666504,8.321584129333496,-0.5403626058008764,liguria
TiRex,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,16.610279083251953,2.2497209167480463,-0.11928530841718167,liguria
TiRex,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.305145263671877,0.7195337424979247,-0.04490160097565079,liguria
TimeGPT,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,14.116208,3.1337919999999997,-0.18166910144927534,liguria
TimeGPT,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.35734,1.53266,-0.15497067745197168,liguria
TimeGPT,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,7.426794,1.2132060000000005,-0.14041736111111117,liguria
TimeGPT,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,4.982073,2.102073,0.7298864583333333,liguria
TimeGPT,2021-2022,latest,2022-01-23,2022-04-24,13.0,7.46,5.346144,2.113856,-0.2833587131367292,liguria
TimeGPT,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,9.049342,6.350658000000001,-0.41238038961038964,liguria
TimeGPT,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,17.565083,1.294916999999998,-0.06865943796394476,liguria
TimeGPT,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.5580845,0.4665945061698018,-0.02911724509365549,liguria
TimesFM,2017-2018,latest,2018-01-07,2018-01-28,3.0,17.25,12.032673835754396,5.217326164245604,-0.30245369068090455,liguria
TimesFM,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,7.946728706359863,1.9432712936401373,-0.19648850289586828,liguria
TimesFM,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,8.515493392944336,0.12450660705566463,-0.01441048692773896,liguria
TimesFM,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,6.145389556884766,3.2653895568847657,1.133815818362766,liguria
TimesFM,2021-2022,latest,2022-01-23,2021-12-12,-6.0,7.46,4.324105739593506,3.135894260406494,-0.42036116091239867,liguria
TimesFM,2022-2023,latest,2022-12-18,2023-01-15,4.0,15.4,6.805857181549072,8.594142818450928,-0.558061221977333,liguria
TimesFM,2023-2024,latest,2024-01-07,2024-01-07,0.0,18.86,16.37627601623535,2.483723983764648,-0.13169268206599405,liguria
TimesFM,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,15.070755004882812,0.953924001286989,-0.05952843117292461,liguria
XGBoost,2017-2018,latest,2018-01-07,2018-02-04,4.0,17.25,6.463989734649658,10.786010265350342,-0.625275957411614,liguria
XGBoost,2018-2019,latest,2019-01-27,2019-03-03,5.0,9.89,8.044881820678711,1.8451181793212896,-0.18656402217606569,liguria
XGBoost,2019-2020,latest,2020-02-09,2020-02-16,1.0,8.64,9.230131149291992,0.5901311492919916,0.06830221635323977,liguria
XGBoost,2020-2021,latest,2021-02-21,2021-04-04,6.0,2.88,6.682042121887207,3.802042121887207,1.3201535145441692,liguria
XGBoost,2021-2022,latest,2022-01-23,2022-03-27,9.0,7.46,12.53980541229248,5.0798054122924805,0.680939063309984,liguria
XGBoost,2022-2023,latest,2022-12-18,2023-03-19,13.0,15.4,8.165740966796875,7.234259033203125,-0.469757080078125,liguria
XGBoost,2023-2024,latest,2024-01-07,2024-01-28,3.0,18.86,14.128373146057127,4.731626853942872,-0.2508815935282541,liguria
XGBoost,2024-2025,latest,2025-01-26,2025-02-02,1.0,16.0246790061698,14.300895690917969,1.7237833152518327,-0.10757053633262444,liguria
ARIMA,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,11.54258760098881,5.70741239901119,-0.3308644868991994,liguria
ARIMA,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,9.08569351525136,0.8043064847486399,-0.0813252259604287,liguria
ARIMA,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.302267432465731,0.3377325675342693,-0.039089417538688574,liguria
ARIMA,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.235898743806271,0.35589874380627107,0.12357595271051079,liguria
ARIMA,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,4.900206945314826,2.5597930546851737,-0.34313579821517076,liguria
ARIMA,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,6.706073208999776,8.693926791000225,-0.5645407007143003,liguria
ARIMA,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,17.94,0.9199999999999982,-0.04878048780487795,liguria
ARIMA,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,15.140707604781728,0.8839714013880737,-0.055163126889950696,liguria
CatBoost,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,7.879681196744216,9.370318803255785,-0.5432068871452629,liguria
CatBoost,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.41229715735787,1.477702842642131,-0.14941383646533174,liguria
CatBoost,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.288952760187563,0.3510472398124378,-0.040630467570884,liguria
CatBoost,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.333746987640548,0.4537469876405482,0.15755103737519036,liguria
CatBoost,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,6.3008233043537,1.1591766956463,-0.15538561603837803,liguria
CatBoost,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,8.883466841618922,6.516533158381078,-0.4231515037909791,liguria
CatBoost,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,14.917789004472494,3.942210995527505,-0.2090249732517235,liguria
CatBoost,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,14.960521564865108,1.064157441304694,-0.06640741077527815,liguria
Chronos-Bolt-small,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,12.054256439208984,5.195743560791016,-0.30120252526324726,liguria
Chronos-Bolt-small,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.468555450439453,1.4214445495605474,-0.14372543473817465,liguria
Chronos-Bolt-small,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.39317512512207,0.24682487487793026,-0.028567693851612296,liguria
Chronos-Bolt-small,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.580205202102661,0.7002052021026612,0.24312680628564629,liguria
Chronos-Bolt-small,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,5.519022464752197,1.9409775352478027,-0.26018465619943737,liguria
Chronos-Bolt-small,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,7.526370048522949,7.873629951477051,-0.5112746721738345,liguria
Chronos-Bolt-small,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,15.700801849365234,3.159198150634765,-0.16750785528286136,liguria
Chronos-Bolt-small,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,14.703962326049805,1.3207166801199968,-0.08241766837335687,liguria
Chronos-V2,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,12.251176834106444,4.9988231658935565,-0.2897868501967279,liguria
Chronos-V2,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,8.464906692504883,1.4250933074951178,-0.14409436880638196,liguria
Chronos-V2,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,7.916559219360352,0.723440780639649,-0.0837315718332927,liguria
Chronos-V2,2020-2021,1,2021-02-21,2021-02-14,-1.0,2.88,3.1541078090667725,0.27410780906677257,0.09517632259262937,liguria
Chronos-V2,2021-2022,1,2022-01-23,2021-12-12,-6.0,7.46,5.188111305236816,2.2718886947631836,-0.30454272047763853,liguria
Chronos-V2,2022-2023,1,2022-12-18,2023-01-15,4.0,15.4,6.29597806930542,9.10402193069458,-0.5911702552399078,liguria
Chronos-V2,2023-2024,1,2024-01-07,2024-01-07,0.0,18.86,15.41094207763672,3.449057922363279,-0.1828768781740869,liguria
Chronos-V2,2024-2025,1,2025-01-26,2025-02-02,1.0,16.0246790061698,13.847063064575195,2.177615941594606,-0.13589139231782324,liguria
Drift,2017-2018,1,2018-01-07,2018-01-28,3.0,17.25,14.07025641025641,3.1797435897435893,-0.18433296172426605,liguria
Drift,2018-2019,1,2019-01-27,2019-03-03,5.0,9.89,9.170744680851064,0.719255319148937,-0.07272551255297643,liguria
Drift,2019-2020,1,2020-02-09,2020-02-16,1.0,8.64,8.673820754716981,0.03382075471698087,0.003914439203354267,liguria
